"word","count","topic","color"
"increase in rainfall",33,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",30,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",21,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",21,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",11,"Protection and Preparedness","#FB9A99"
"too expensive",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",10,"Perception and Personal Judgment","#33A02C"
"confusion about personal home",9,"Data Interpretation and Understanding","#B2DF8A"
"based on average",8,"Data Interpretation and Understanding","#B2DF8A"
"amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",6,"Data Interpretation and Understanding","#B2DF8A"
"history of flood",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",5,"Protection and Preparedness","#FB9A99"
"good investment",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",3,"No Reason","#E31A1C"
"I don't know",3,"No Reason","#E31A1C"
"no comment",3,"No Reason","#E31A1C"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",2,"Data Interpretation and Understanding","#B2DF8A"
"low risk of flooding",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"wrong answer",2,"Data Interpretation and Understanding","#B2DF8A"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",1,"Perception and Personal Judgment","#33A02C"
"hypothetical",1,"Perception and Personal Judgment","#33A02C"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
