"word","count","topic","color"
"increase in rainfall",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",6,"Protection and Preparedness","#FB9A99"
"too expensive",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",5,"Perception and Personal Judgment","#33A02C"
"history of flood",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",5,"Protection and Preparedness","#FB9A99"
"confusion about personal home",4,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",4,"No Reason","#E31A1C"
"not needed",4,"Protection and Preparedness","#FB9A99"
"based on average",3,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",3,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"good investment",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't believe it",3,"Perception and Personal Judgment","#33A02C"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"logical choice",3,"Perception and Personal Judgment","#33A02C"
"low amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",3,"No Reason","#E31A1C"
"other actions can be done",3,"Protection and Preparedness","#FB9A99"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"high amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",1,"No Reason","#E31A1C"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"hypothetical",1,"Perception and Personal Judgment","#33A02C"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",1,"Protection and Preparedness","#FB9A99"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
