"word","count","topic","color"
"increase in rainfall",58,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",57,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",42,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",37,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",26,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",25,"Perception and Personal Judgment","#33A02C"
"safe than sorry",24,"Protection and Preparedness","#FB9A99"
"confusion about personal home",23,"Data Interpretation and Understanding","#B2DF8A"
"amount of rain",19,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",19,"No Reason","#E31A1C"
"feels right",18,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",17,"Protection and Preparedness","#FB9A99"
"increase in risk of flood(s)",15,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",13,"Data Interpretation and Understanding","#B2DF8A"
"history of flood",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",10,"Data Interpretation and Understanding","#B2DF8A"
"good investment",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not worth the cost",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",9,"No Reason","#E31A1C"
"low risk of flooding",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"weather is unpredictable",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on emissions scenario(s)/ projections",6,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",6,"No Reason","#E31A1C"
"more information wanted",5,"Data Interpretation and Understanding","#B2DF8A"
"not needed",5,"Protection and Preparedness","#FB9A99"
"the description",5,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",4,"Data Interpretation and Understanding","#B2DF8A"
"likely to move",4,"Perception and Personal Judgment","#33A02C"
"not in a flood zone",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"10 yr likelihood",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"hypothetical",2,"Perception and Personal Judgment","#33A02C"
"I don't believe it",2,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",2,"Protection and Preparedness","#FB9A99"
"unable to read graph",2,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
