"word","count","topic","color"
"to be prepared and protect",27,"Protection and Preparedness","#FB9A99"
"increase in rainfall",26,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",23,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",13,"Protection and Preparedness","#FB9A99"
"cost effective",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",11,"Perception and Personal Judgment","#33A02C"
"amount of rain",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",8,"Protection and Preparedness","#FB9A99"
"based on the graph",7,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",7,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",7,"No Reason","#E31A1C"
"too expensive",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",5,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",5,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"not needed",3,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"10 yr likelihood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"no comment",2,"No Reason","#E31A1C"
"not worth the cost",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"other actions can be done",2,"Protection and Preparedness","#FB9A99"
"saves money",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",1,"No Reason","#E31A1C"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",1,"Perception and Personal Judgment","#33A02C"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
