"word","count","topic","color"
"increase in rainfall",53,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",49,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",47,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",30,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",24,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",21,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",20,"Perception and Personal Judgment","#33A02C"
"safe than sorry",20,"Protection and Preparedness","#FB9A99"
"confusion about personal home",18,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",17,"No Reason","#E31A1C"
"too expensive",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",12,"Protection and Preparedness","#FB9A99"
"based on the graph",10,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",10,"Perception and Personal Judgment","#33A02C"
"high amount of rain",10,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",10,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",9,"No Reason","#E31A1C"
"not worth the cost",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",7,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",6,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",4,"No Reason","#E31A1C"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"good investment",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",4,"Data Interpretation and Understanding","#B2DF8A"
"more information wanted",4,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",3,"Protection and Preparedness","#FB9A99"
"10 yr likelihood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",2,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"unable to read graph",2,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",2,"Data Interpretation and Understanding","#B2DF8A"
"damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
