"word","count","topic","color"
"increase in rainfall",37,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",28,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",7,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",6,"Perception and Personal Judgment","#33A02C"
"history of flood",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",6,"Perception and Personal Judgment","#33A02C"
"not worth the cost",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",6,"Protection and Preparedness","#FB9A99"
"confusion about personal home",5,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",5,"No Reason","#E31A1C"
"too expensive",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",4,"Data Interpretation and Understanding","#B2DF8A"
"low risk of flooding",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",4,"No Reason","#E31A1C"
"?",3,"No Reason","#E31A1C"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"increase in risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",3,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",2,"Data Interpretation and Understanding","#B2DF8A"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"unable to read graph",1,"Data Interpretation and Understanding","#B2DF8A"
