"word","count","topic","color"
"increase in rainfall",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",3,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",2,"Data Interpretation and Understanding","#B2DF8A"
"cost effective",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",2,"No Reason","#E31A1C"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"logical choice",2,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",2,"Protection and Preparedness","#FB9A99"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",1,"No Reason","#E31A1C"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",1,"Protection and Preparedness","#FB9A99"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
