"word","count","topic","color"
"increase in rainfall",28,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",22,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",20,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"avoid damage and its costs",18,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",17,"Protection and Preparedness","#FB9A99"
"increase in risk of flood(s)",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"confusion about personal home",8,"Data Interpretation and Understanding","#B2DF8A"
"feels right",7,"Perception and Personal Judgment","#33A02C"
"history of flood",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",6,"No Reason","#E31A1C"
"logical choice",6,"Perception and Personal Judgment","#33A02C"
"low risk of flooding",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",6,"Protection and Preparedness","#FB9A99"
"amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",5,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",5,"No Reason","#E31A1C"
"not worth the cost",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",5,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",4,"Data Interpretation and Understanding","#B2DF8A"
"good investment",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",3,"Perception and Personal Judgment","#33A02C"
"no comment",3,"No Reason","#E31A1C"
"not needed",3,"Protection and Preparedness","#FB9A99"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",2,"Data Interpretation and Understanding","#B2DF8A"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"hypothetical",2,"Perception and Personal Judgment","#33A02C"
"more information wanted",2,"Data Interpretation and Understanding","#B2DF8A"
"other actions can be done",2,"Protection and Preparedness","#FB9A99"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"unable to read graph",1,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
