"word","count","topic","color"
"to be prepared and protect",8,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"confusion about personal home",3,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",3,"No Reason","#E31A1C"
"increase in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",1,"Data Interpretation and Understanding","#B2DF8A"
"feels right",1,"Perception and Personal Judgment","#33A02C"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"logical choice",1,"Perception and Personal Judgment","#33A02C"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",1,"No Reason","#E31A1C"
"safe than sorry",1,"Protection and Preparedness","#FB9A99"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
