"word","count","topic","color"
"increase in rainfall",42,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",40,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",34,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",26,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",26,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",24,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",24,"Protection and Preparedness","#FB9A99"
"feels right",19,"Perception and Personal Judgment","#33A02C"
"I don't know",19,"No Reason","#E31A1C"
"logical choice",18,"Perception and Personal Judgment","#33A02C"
"increase in risk of flood(s)",16,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",9,"No Reason","#E31A1C"
"based on emissions scenario(s)/ projections",9,"Data Interpretation and Understanding","#B2DF8A"
"based on average",8,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",8,"Protection and Preparedness","#FB9A99"
"saves money",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",6,"Data Interpretation and Understanding","#B2DF8A"
"good investment",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",6,"No Reason","#E31A1C"
"weather is unpredictable",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",4,"Data Interpretation and Understanding","#B2DF8A"
"not worth the cost",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"change in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"it is only rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",3,"Protection and Preparedness","#FB9A99"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",3,"Data Interpretation and Understanding","#B2DF8A"
"10 yr likelihood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"hypothetical",2,"Perception and Personal Judgment","#33A02C"
"I don't believe it",2,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"risks associated with insurance",2,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"unable to read graph",1,"Data Interpretation and Understanding","#B2DF8A"
