"word","count","topic","color"
"increase in rainfall",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",4,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",2,"Data Interpretation and Understanding","#B2DF8A"
"logical choice",2,"Perception and Personal Judgment","#33A02C"
"amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",1,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",1,"Protection and Preparedness","#FB9A99"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",1,"Protection and Preparedness","#FB9A99"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"safe than sorry",1,"Protection and Preparedness","#FB9A99"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
