"word","count","topic","color"
"increase in rainfall",19,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",11,"Protection and Preparedness","#FB9A99"
"too expensive",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",7,"Protection and Preparedness","#FB9A99"
"no comment",5,"No Reason","#E31A1C"
"risk of flood(s)",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",4,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",4,"No Reason","#E31A1C"
"I don't understand",4,"Data Interpretation and Understanding","#B2DF8A"
"increase in risk of flood(s)",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",2,"Data Interpretation and Understanding","#B2DF8A"
"logical choice",2,"Perception and Personal Judgment","#33A02C"
"other actions can be done",2,"Protection and Preparedness","#FB9A99"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"feels right",1,"Perception and Personal Judgment","#33A02C"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"not needed",1,"Protection and Preparedness","#FB9A99"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
