"word","count","topic","color"
"increase in rainfall",32,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",23,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",17,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",8,"Perception and Personal Judgment","#33A02C"
"safe than sorry",8,"Protection and Preparedness","#FB9A99"
"I don't know",7,"No Reason","#E31A1C"
"amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",6,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",5,"Protection and Preparedness","#FB9A99"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",4,"Data Interpretation and Understanding","#B2DF8A"
"low risk of flooding",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",4,"No Reason","#E31A1C"
"?",3,"No Reason","#E31A1C"
"based on the graph",3,"Data Interpretation and Understanding","#B2DF8A"
"feels right",2,"Perception and Personal Judgment","#33A02C"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"not worth the cost",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",2,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
