"word","count","topic","color"
"increase in rainfall",110,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",77,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",61,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",57,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",52,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",34,"Protection and Preparedness","#FB9A99"
"confusion about personal home",32,"Data Interpretation and Understanding","#B2DF8A"
"logical choice",32,"Perception and Personal Judgment","#33A02C"
"amount of rain",25,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",25,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",24,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",24,"No Reason","#E31A1C"
"too expensive",24,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",20,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",19,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",19,"Protection and Preparedness","#FB9A99"
"based on average",14,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",14,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",14,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not worth the cost",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",11,"No Reason","#E31A1C"
"not in a flood zone",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"weather is unpredictable",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",10,"No Reason","#E31A1C"
"low amount of rain",10,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",9,"Protection and Preparedness","#FB9A99"
"saves money",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",9,"Data Interpretation and Understanding","#B2DF8A"
"more information wanted",6,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't understand",4,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",3,"Perception and Personal Judgment","#33A02C"
"likely to move",3,"Perception and Personal Judgment","#33A02C"
"other actions can be done",3,"Protection and Preparedness","#FB9A99"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"hypothetical",2,"Perception and Personal Judgment","#33A02C"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"unable to read graph",2,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",2,"Data Interpretation and Understanding","#B2DF8A"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
