"word","count","topic","color"
"avoid damage and its costs",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",10,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",7,"No Reason","#E31A1C"
"increase in rainfall",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",6,"Protection and Preparedness","#FB9A99"
"safe than sorry",6,"Protection and Preparedness","#FB9A99"
"amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",5,"Data Interpretation and Understanding","#B2DF8A"
"increase in risk of flood(s)",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",5,"Perception and Personal Judgment","#33A02C"
"confusion about personal home",4,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",3,"Data Interpretation and Understanding","#B2DF8A"
"saves money",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",3,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",2,"No Reason","#E31A1C"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"?",1,"No Reason","#E31A1C"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"feels right",1,"Perception and Personal Judgment","#33A02C"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
