"word","count","topic","color"
"to be prepared and protect",60,"Protection and Preparedness","#FB9A99"
"increase in rainfall",45,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",28,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",28,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",25,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",22,"Perception and Personal Judgment","#33A02C"
"cost effective",19,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",18,"No Reason","#E31A1C"
"amount of rain",17,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",17,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",13,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",11,"Perception and Personal Judgment","#33A02C"
"based on the graph",10,"Data Interpretation and Understanding","#B2DF8A"
"good investment",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",10,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",9,"No Reason","#E31A1C"
"saves money",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"too expensive",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",7,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",5,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",5,"Data Interpretation and Understanding","#B2DF8A"
"no comment",5,"No Reason","#E31A1C"
"not in a flood zone",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",5,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"climate change increases risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't believe it",2,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"unable to read graph",1,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
