"word","count","topic","color"
"increase in rainfall",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",7,"Protection and Preparedness","#FB9A99"
"I don't know",5,"No Reason","#E31A1C"
"cost effective",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",4,"Protection and Preparedness","#FB9A99"
"confusion about personal home",3,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",2,"Data Interpretation and Understanding","#B2DF8A"
"feels right",2,"Perception and Personal Judgment","#33A02C"
"history of flood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",2,"Perception and Personal Judgment","#33A02C"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",1,"No Reason","#E31A1C"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",1,"No Reason","#E31A1C"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
