"word","count","topic","color"
"to be prepared and protect",17,"Protection and Preparedness","#FB9A99"
"increase in rainfall",16,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",9,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",9,"Data Interpretation and Understanding","#B2DF8A"
"risk of flood(s)",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",7,"Perception and Personal Judgment","#33A02C"
"logical choice",7,"Perception and Personal Judgment","#33A02C"
"cost effective",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",5,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",4,"No Reason","#E31A1C"
"increase in risk of flood(s)",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",3,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",3,"Protection and Preparedness","#FB9A99"
"based on emissions scenario(s)/ projections",2,"Data Interpretation and Understanding","#B2DF8A"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",1,"No Reason","#E31A1C"
"not needed",1,"Protection and Preparedness","#FB9A99"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
