"word","count","topic","color"
"increase in rainfall",137,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",118,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",91,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",70,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",59,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",52,"Protection and Preparedness","#FB9A99"
"logical choice",43,"Perception and Personal Judgment","#33A02C"
"confusion about personal home",42,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",38,"No Reason","#E31A1C"
"amount of rain",35,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",33,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",30,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",29,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",28,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",27,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",27,"Protection and Preparedness","#FB9A99"
"based on average",21,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",20,"Data Interpretation and Understanding","#B2DF8A"
"low risk of flooding",20,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",19,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",19,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",16,"No Reason","#E31A1C"
"no comment",16,"No Reason","#E31A1C"
"low amount of rain",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not in a flood zone",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",11,"Protection and Preparedness","#FB9A99"
"the description",11,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",7,"Data Interpretation and Understanding","#B2DF8A"
"more information wanted",7,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"10 yr likelihood",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",4,"Perception and Personal Judgment","#33A02C"
"likely to move",4,"Perception and Personal Judgment","#33A02C"
"other actions can be done",4,"Protection and Preparedness","#FB9A99"
"wrong answer",4,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",3,"Perception and Personal Judgment","#33A02C"
"climate change increases risk",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"risks associated with insurance",3,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",2,"Data Interpretation and Understanding","#B2DF8A"
"damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"hypothetical",2,"Perception and Personal Judgment","#33A02C"
"unable to read graph",2,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
