"word","count","topic","color"
"logical choice",42,"Perception and Personal Judgment","#33A02C"
"cost effective",37,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",27,"No Reason","#E31A1C"
"feels right",23,"Perception and Personal Judgment","#33A02C"
"increase in rainfall",19,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",15,"No Reason","#E31A1C"
"long lasting",15,"Protection and Preparedness","#FB9A99"
"saves money",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",14,"Protection and Preparedness","#FB9A99"
"amount of rain",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"best economic choice",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",11,"Data Interpretation and Understanding","#B2DF8A"
"no comment",10,"No Reason","#E31A1C"
"best level of protection",7,"Protection and Preparedness","#FB9A99"
"low maintenance",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",7,"Protection and Preparedness","#FB9A99"
"based on 4 events",6,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",6,"Perception and Personal Judgment","#33A02C"
"I don't understand",6,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",5,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",5,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",4,"Perception and Personal Judgment","#33A02C"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",4,"Perception and Personal Judgment","#33A02C"
"low amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",4,"Data Interpretation and Understanding","#B2DF8A"
"watch and decide later",4,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 2 events",3,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"acceptable damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"avoid damage and its costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the hindcast",2,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",2,"Perception and Personal Judgment","#33A02C"
"freeboard added",2,"Data Interpretation and Understanding","#B2DF8A"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
