"word","count","topic","color"
"cost effective",45,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",34,"Perception and Personal Judgment","#33A02C"
"long lasting",26,"Protection and Preparedness","#FB9A99"
"to be prepared and protect",24,"Protection and Preparedness","#FB9A99"
"increase in rainfall",20,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",17,"Perception and Personal Judgment","#33A02C"
"based on average",16,"Data Interpretation and Understanding","#B2DF8A"
"saves money",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best economic choice",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",11,"No Reason","#E31A1C"
"I don't know",11,"No Reason","#E31A1C"
"avoid damage and its costs",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"freeboard added",9,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",8,"Protection and Preparedness","#FB9A99"
"based on the graph",7,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",7,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",7,"Perception and Personal Judgment","#33A02C"
"low maintenance",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 2 events",5,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",5,"Data Interpretation and Understanding","#B2DF8A"
"no comment",5,"No Reason","#E31A1C"
"protection of home and family",5,"Protection and Preparedness","#FB9A99"
"the description",5,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",4,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",4,"Perception and Personal Judgment","#33A02C"
"safe than sorry",4,"Protection and Preparedness","#FB9A99"
"amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",3,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"I don't believe it",2,"Perception and Personal Judgment","#33A02C"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
