"word","count","topic","color"
"increase in rainfall",52,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",42,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",29,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",24,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",19,"No Reason","#E31A1C"
"safe than sorry",19,"Protection and Preparedness","#FB9A99"
"history of flood",16,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",16,"Perception and Personal Judgment","#33A02C"
"cost effective",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",13,"Perception and Personal Judgment","#33A02C"
"confusion about personal home",11,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",8,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",8,"Data Interpretation and Understanding","#B2DF8A"
"no comment",8,"No Reason","#E31A1C"
"amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",7,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",6,"Protection and Preparedness","#FB9A99"
"the description",5,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",4,"No Reason","#E31A1C"
"not in a flood zone",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",3,"Perception and Personal Judgment","#33A02C"
"low amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",3,"Data Interpretation and Understanding","#B2DF8A"
"not worth the cost",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"10 yr likelihood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
