"word","count","topic","color"
"increase in rainfall",46,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",39,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",32,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",30,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",26,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",17,"Data Interpretation and Understanding","#B2DF8A"
"logical choice",17,"Perception and Personal Judgment","#33A02C"
"amount of rain",16,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",16,"Protection and Preparedness","#FB9A99"
"too expensive",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",11,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",7,"No Reason","#E31A1C"
"low risk of flooding",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",5,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",5,"Data Interpretation and Understanding","#B2DF8A"
"feels right",5,"Perception and Personal Judgment","#33A02C"
"history of flood",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",5,"No Reason","#E31A1C"
"not needed",5,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",4,"No Reason","#E31A1C"
"good investment",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"more information wanted",3,"Data Interpretation and Understanding","#B2DF8A"
"not in a flood zone",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",3,"Data Interpretation and Understanding","#B2DF8A"
"hypothetical",2,"Perception and Personal Judgment","#33A02C"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"risks associated with insurance",2,"Perception and Personal Judgment","#33A02C"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"unable to read graph",1,"Data Interpretation and Understanding","#B2DF8A"
