"word","count","topic","color"
"increase in rainfall",39,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",37,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",30,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",20,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",17,"Protection and Preparedness","#FB9A99"
"cost effective",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"confusion about personal home",14,"Data Interpretation and Understanding","#B2DF8A"
"amount of rain",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",12,"No Reason","#E31A1C"
"increase in risk of flood(s)",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",10,"Perception and Personal Judgment","#33A02C"
"good investment",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",10,"Perception and Personal Judgment","#33A02C"
"protection of home and family",10,"Protection and Preparedness","#FB9A99"
"based on average",9,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",8,"No Reason","#E31A1C"
"based on emissions scenario(s)/ projections",8,"Data Interpretation and Understanding","#B2DF8A"
"history of flood",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",7,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",4,"Data Interpretation and Understanding","#B2DF8A"
"not needed",4,"Protection and Preparedness","#FB9A99"
"saves money",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",3,"No Reason","#E31A1C"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"10 yr likelihood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"climate change increases risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",2,"Protection and Preparedness","#FB9A99"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"unable to read graph",1,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
