Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): Pulaski, Virginia, USA
Station Name: PULASKI
Latitude: 37.0556°
Longitude: -80.7842°
Elevation (USGS): 1850 ft


PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.252,0.300,0.362,0.406,0.460,0.496,0.531,0.563,0.599,0.624
10-min:, 0.402,0.480,0.580,0.649,0.733,0.790,0.845,0.892,0.947,0.982
15-min:, 0.503,0.603,0.734,0.821,0.929,1.00,1.07,1.12,1.19,1.23
30-min:, 0.690,0.833,1.04,1.19,1.38,1.51,1.64,1.75,1.90,2.00
60-min:, 0.860,1.04,1.34,1.55,1.83,2.04,2.25,2.46,2.72,2.91
2-hr:, 0.985,1.19,1.54,1.80,2.14,2.41,2.67,2.93,3.26,3.50
3-hr:, 1.05,1.27,1.62,1.90,2.26,2.54,2.82,3.09,3.44,3.70
6-hr:, 1.25,1.50,1.90,2.21,2.64,2.97,3.30,3.63,4.06,4.37
12-hr:, 1.50,1.80,2.25,2.61,3.12,3.52,3.92,4.33,4.89,5.31
24-hr:, 1.83,2.20,2.78,3.24,3.90,4.43,4.98,5.55,6.35,6.98
2-day:, 2.18,2.63,3.30,3.82,4.56,5.15,5.75,6.38,7.23,7.89
3-day:, 2.33,2.81,3.51,4.06,4.83,5.44,6.07,6.71,7.59,8.26
4-day:, 2.48,2.99,3.73,4.30,5.10,5.74,6.39,7.05,7.95,8.64
7-day:, 2.93,3.52,4.33,4.96,5.82,6.49,7.17,7.84,8.75,9.43
10-day:, 3.42,4.08,4.96,5.62,6.51,7.18,7.84,8.49,9.34,9.96
20-day:, 4.73,5.62,6.70,7.53,8.62,9.46,10.3,11.1,12.1,12.9
30-day:, 5.96,7.02,8.20,9.08,10.2,11.0,11.9,12.6,13.6,14.3
45-day:, 7.57,8.88,10.2,11.2,12.5,13.4,14.2,15.0,15.9,16.6
60-day:, 9.20,10.8,12.2,13.3,14.6,15.6,16.4,17.2,18.1,18.8

Date/time (GMT):  Wed Nov  2 16:13:10 2022
pyRunTime:  0.007772922515869141
