Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): Newbury, New Hampshire, USA
Station Name: MT SUNAPEE
Latitude: 43.3402°
Longitude: -72.0720°
Elevation (USGS): 1270 ft


PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.222,0.266,0.337,0.395,0.463,0.513,0.560,0.595,0.665,0.724
10-min:, 0.314,0.377,0.478,0.560,0.656,0.727,0.793,0.842,0.942,1.03
15-min:, 0.369,0.443,0.561,0.658,0.772,0.855,0.933,0.992,1.11,1.21
30-min:, 0.519,0.622,0.790,0.925,1.08,1.20,1.31,1.39,1.56,1.69
60-min:, 0.669,0.802,1.02,1.19,1.40,1.55,1.69,1.79,2.00,2.18
2-hr:, 0.857,1.03,1.32,1.54,1.81,2.01,2.20,2.33,2.63,2.89
3-hr:, 0.989,1.19,1.52,1.79,2.10,2.33,2.55,2.71,3.06,3.38
6-hr:, 1.26,1.52,1.94,2.28,2.68,2.96,3.25,3.44,3.91,4.32
12-hr:, 1.60,1.93,2.45,2.88,3.37,3.73,4.08,4.32,4.88,5.39
24-hr:, 1.98,2.39,3.03,3.55,4.16,4.59,5.01,5.30,5.96,6.54
2-day:, 2.39,2.87,3.64,4.27,4.98,5.50,5.98,6.32,7.06,7.71
3-day:, 2.65,3.17,4.02,4.71,5.48,6.04,6.56,6.92,7.71,8.40
4-day:, 2.86,3.42,4.32,5.04,5.86,6.45,6.99,7.37,8.19,8.91
7-day:, 3.42,4.04,5.04,5.84,6.74,7.39,7.97,8.36,9.24,9.99
10-day:, 3.95,4.61,5.67,6.52,7.45,8.13,8.72,9.12,9.99,10.7
20-day:, 5.58,6.31,7.48,8.41,9.38,10.1,10.6,11.0,11.7,12.3
30-day:, 6.95,7.72,8.97,9.95,10.9,11.7,12.1,12.5,13.1,13.5
45-day:, 8.66,9.49,10.8,11.9,12.9,13.6,14.0,14.3,14.8,15.0
60-day:, 10.1,11.0,12.4,13.5,14.5,15.3,15.7,15.9,16.2,16.4

Date/time (GMT):  Tue Nov 29 19:55:27 2022
pyRunTime:  0.0124402046204
