Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): Pulaski, Virginia, USA
Station Name: PULASKI
Latitude: 37.0556°
Longitude: -80.7842°
Elevation (USGS): 1850 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.279,0.332,0.401,0.452,0.516,0.562,0.608,0.650,0.704,0.745
10-min:, 0.446,0.532,0.643,0.723,0.822,0.894,0.966,1.03,1.11,1.17
15-min:, 0.558,0.668,0.813,0.914,1.04,1.13,1.22,1.30,1.40,1.47
30-min:, 0.764,0.923,1.16,1.32,1.54,1.71,1.87,2.02,2.23,2.38
60-min:, 0.953,1.16,1.48,1.72,2.06,2.31,2.58,2.84,3.20,3.48
2-hr:, 1.08,1.32,1.70,2.00,2.40,2.72,3.05,3.38,3.84,4.19
3-hr:, 1.16,1.40,1.79,2.09,2.52,2.86,3.21,3.57,4.06,4.44
6-hr:, 1.36,1.63,2.07,2.42,2.91,3.31,3.73,4.16,4.77,5.24
12-hr:, 1.62,1.94,2.42,2.83,3.41,3.89,4.40,4.95,5.74,6.37
24-hr:, 1.96,2.37,2.99,3.49,4.22,4.82,5.45,6.12,7.07,7.84
2-day:, 2.34,2.82,3.54,4.12,4.93,5.59,6.28,7.00,8.01,8.82
3-day:, 2.50,3.01,3.76,4.36,5.21,5.90,6.62,7.36,8.40,9.22
4-day:, 2.65,3.19,3.99,4.61,5.50,6.21,6.95,7.72,8.79,9.63
7-day:, 3.13,3.76,4.63,5.32,6.26,7.00,7.77,8.56,9.63,10.5
10-day:, 3.63,4.34,5.28,5.99,6.95,7.69,8.44,9.17,10.2,10.9
20-day:, 5.01,5.94,7.08,7.97,9.16,10.1,11.0,11.9,13.1,14.0
30-day:, 6.27,7.39,8.63,9.57,10.8,11.7,12.6,13.4,14.5,15.3
45-day:, 7.96,9.34,10.8,11.8,13.1,14.1,15.0,15.9,17.0,17.7
60-day:, 9.65,11.3,12.8,13.9,15.4,16.4,17.3,18.2,19.2,19.9

Date/time (GMT):  Wed Nov  2 16:13:01 2022
pyRunTime:  0.007803916931152344
