Point precipitation frequency estimates (inches),,,,,,,,,,
NOAA Atlas 14 Volume 2 Version 3,,,,,,,,,,
Data type: Precipitation depth,,,,,,,,,,
Time series type: Partial duration,,,,,,,,,,
Project area: Ohio River Basin,,,,,,,,,,
Location name (ESRI Maps): Pulaski, Virginia, USA,,,,,,,,
Station Name: PULASKI,,,,,,,,,,
Latitude: 37.0556°,,,,,,,,,,
Longitude: -80.7842°,,,,,,,,,,
Elevation (USGS): 1850 ft,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL,,,,,,,,,,
by duration for ARI (years):,1,2,5,10,25,50,100,200,500,1000
5-min:,0.31,0.368,0.444,0.5,0.571,0.624,0.678,0.731,0.802,0.857
10-min:,0.495,0.589,0.711,0.799,0.91,0.994,1.08,1.16,1.27,1.35
15-min:,0.618,0.74,0.9,1.01,1.15,1.26,1.36,1.46,1.6,1.69
30-min:,0.848,1.02,1.28,1.46,1.71,1.9,2.09,2.28,2.54,2.74
60-min:,1.06,1.28,1.64,1.91,2.27,2.57,2.87,3.19,3.64,4
2-hr:,1.2,1.46,1.88,2.2,2.65,3.02,3.39,3.8,4.37,4.82
3-hr:,1.27,1.54,1.97,2.31,2.77,3.16,3.56,3.99,4.61,5.1
6-hr:,1.48,1.78,2.26,2.64,3.18,3.62,4.11,4.62,5.37,5.96
12-hr:,1.76,2.1,2.62,3.06,3.69,4.22,4.8,5.44,6.4,7.19
24-hr:,2.11,2.55,3.21,3.74,4.51,5.14,5.81,6.52,7.54,8.37
2-day:,2.52,3.03,3.8,4.41,5.28,5.98,6.72,7.5,8.58,9.48
3-day:,2.68,3.23,4.03,4.67,5.58,6.31,7.08,7.88,9.01,9.91
4-day:,2.85,3.43,4.27,4.94,5.87,6.63,7.43,8.26,9.43,10.3
7-day:,3.36,4.03,4.96,5.69,6.69,7.49,8.32,9.17,10.3,11.3
10-day:,3.86,4.62,5.61,6.36,7.38,8.16,8.96,9.76,10.8,11.6
20-day:,5.29,6.29,7.48,8.41,9.66,10.6,11.6,12.6,13.9,14.9
30-day:,6.59,7.77,9.07,10,11.3,12.3,13.2,14.1,15.3,16.2
45-day:,8.37,9.83,11.3,12.4,13.8,14.8,15.8,16.7,17.9,18.7
60-day:,10.1,11.8,13.4,14.6,16.1,17.2,18.2,19.1,20.2,21
