Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 6 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southwest
Location name (ESRI Maps): Wasco, California, USA
Station Name: WASCO
Latitude: 35.5944°
Longitude: -119.3536°
Elevation (USGS): 345 ft


PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.077,0.094,0.121,0.147,0.193,0.233,0.283,0.343,0.472,0.638
10-min:, 0.110,0.135,0.173,0.210,0.276,0.335,0.405,0.491,0.676,0.914
15-min:, 0.133,0.163,0.210,0.254,0.334,0.405,0.490,0.594,0.817,1.11
30-min:, 0.182,0.224,0.288,0.349,0.459,0.556,0.673,0.816,1.12,1.52
60-min:, 0.257,0.316,0.406,0.492,0.646,0.784,0.949,1.15,1.58,2.14
2-hr:, 0.387,0.467,0.584,0.694,0.884,1.05,1.24,1.46,1.83,2.16
3-hr:, 0.475,0.573,0.714,0.844,1.07,1.25,1.47,1.72,2.12,2.48
6-hr:, 0.645,0.788,0.986,1.17,1.46,1.71,1.99,2.31,2.80,3.24
12-hr:, 0.809,1.03,1.32,1.58,2.00,2.34,2.72,3.15,3.80,4.37
24-hr:, 0.983,1.30,1.73,2.09,2.66,3.10,3.59,4.13,4.92,5.60
2-day:, 1.14,1.52,2.04,2.49,3.20,3.78,4.42,5.13,6.21,7.13
3-day:, 1.26,1.68,2.27,2.78,3.60,4.27,5.02,5.87,7.16,8.28
4-day:, 1.34,1.80,2.43,2.99,3.88,4.61,5.43,6.36,7.77,9.01
7-day:, 1.52,2.08,2.85,3.52,4.56,5.41,6.34,7.39,8.95,10.3
10-day:, 1.62,2.24,3.09,3.82,4.94,5.85,6.83,7.93,9.57,11.0
20-day:, 1.97,2.73,3.76,4.64,5.99,7.08,8.27,9.59,11.5,13.2
30-day:, 2.35,3.22,4.39,5.40,6.96,8.22,9.60,11.1,13.4,15.4
45-day:, 2.85,3.80,5.10,6.24,8.01,9.45,11.0,12.8,15.5,17.8
60-day:, 3.37,4.39,5.79,7.03,8.99,10.6,12.4,14.4,17.4,20.1

Date/time (GMT):  Tue Nov 29 20:05:26 2022
pyRunTime:  0.0249860286713
