Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 6 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southwest
Location name (ESRI Maps): Wasco, California, USA
Station Name: WASCO
Latitude: 35.5944°
Longitude: -119.3536°
Elevation (USGS): 345 ft


PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.057,0.069,0.089,0.105,0.127,0.147,0.168,0.190,0.237,0.295
10-min:, 0.081,0.100,0.127,0.151,0.183,0.210,0.240,0.272,0.339,0.423
15-min:, 0.098,0.120,0.153,0.182,0.221,0.255,0.291,0.329,0.411,0.512
30-min:, 0.135,0.165,0.211,0.251,0.304,0.350,0.399,0.453,0.564,0.703
60-min:, 0.190,0.233,0.297,0.353,0.428,0.493,0.563,0.638,0.795,0.991
2-hr:, 0.286,0.344,0.428,0.498,0.585,0.658,0.734,0.811,0.916,0.998
3-hr:, 0.351,0.423,0.523,0.606,0.705,0.788,0.871,0.955,1.07,1.15
6-hr:, 0.477,0.581,0.722,0.836,0.969,1.08,1.18,1.28,1.41,1.50
12-hr:, 0.598,0.756,0.967,1.13,1.32,1.47,1.61,1.75,1.91,2.02
24-hr:, 0.767,1.01,1.34,1.60,1.92,2.17,2.41,2.65,2.95,3.17
2-day:, 0.889,1.18,1.58,1.91,2.32,2.65,2.97,3.30,3.72,4.04
3-day:, 0.984,1.31,1.76,2.13,2.61,2.99,3.38,3.77,4.29,4.69
4-day:, 1.05,1.40,1.88,2.29,2.81,3.23,3.65,4.08,4.66,5.10
7-day:, 1.19,1.62,2.21,2.69,3.31,3.79,4.27,4.74,5.37,5.83
10-day:, 1.26,1.75,2.39,2.92,3.58,4.09,4.60,5.09,5.73,6.20
20-day:, 1.54,2.13,2.91,3.55,4.34,4.96,5.56,6.16,6.92,7.47
30-day:, 1.83,2.50,3.40,4.13,5.04,5.75,6.45,7.15,8.04,8.69
45-day:, 2.22,2.96,3.96,4.77,5.80,6.62,7.42,8.23,9.28,10.1
60-day:, 2.63,3.41,4.49,5.38,6.51,7.42,8.32,9.24,10.4,11.4

Date/time (GMT):  Tue Nov 29 20:05:30 2022
pyRunTime:  0.026270866394
