Point precipitation frequency estimates (inches),,,,,,,,,,
NOAA Atlas 14 Volume 6 Version 2,,,,,,,,,,
Data type: Precipitation depth,,,,,,,,,,
Time series type: Partial duration,,,,,,,,,,
Project area: Southwest,,,,,,,,,,
Location name (ESRI Maps): Wasco, California, USA,,,,,,,,
Station Name: WASCO,,,,,,,,,,
Latitude: 35.5944°,,,,,,,,,,
Longitude: -119.3536°,,,,,,,,,,
Elevation (USGS): 345 ft,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRECIPITATION FREQUENCY ESTIMATES,,,,,,,,,,
by duration for ARI (years):,1,2,5,10,25,50,100,200,500,1000
5-min:,0.065,0.08,0.103,0.124,0.156,0.184,0.217,0.254,0.333,0.432
10-min:,0.094,0.115,0.148,0.177,0.223,0.264,0.31,0.364,0.477,0.619
15-min:,0.114,0.139,0.178,0.214,0.27,0.319,0.375,0.44,0.576,0.748
30-min:,0.156,0.192,0.245,0.294,0.371,0.439,0.516,0.605,0.792,1.03
60-min:,0.22,0.27,0.345,0.415,0.523,0.618,0.727,0.852,1.12,1.45
2-hr:,0.331,0.399,0.497,0.585,0.716,0.826,0.948,1.08,1.29,1.46
3-hr:,0.406,0.49,0.608,0.711,0.863,0.989,1.13,1.28,1.5,1.68
6-hr:,0.552,0.673,0.84,0.982,1.19,1.35,1.52,1.71,1.98,2.19
12-hr:,0.692,0.876,1.12,1.33,1.62,1.85,2.08,2.33,2.68,2.96
24-hr:,0.86,1.14,1.51,1.81,2.24,2.57,2.91,3.27,3.77,4.17
2-day:,0.997,1.33,1.78,2.16,2.7,3.13,3.59,4.07,4.76,5.31
3-day:,1.1,1.47,1.97,2.41,3.03,3.54,4.07,4.66,5.49,6.17
4-day:,1.17,1.57,2.12,2.59,3.27,3.82,4.41,5.04,5.96,6.71
7-day:,1.33,1.82,2.49,3.05,3.85,4.48,5.15,5.86,6.86,7.67
10-day:,1.42,1.96,2.69,3.31,4.16,4.84,5.55,6.29,7.33,8.16
20-day:,1.72,2.39,3.27,4.02,5.05,5.86,6.71,7.6,8.84,9.83
30-day:,2.06,2.81,3.82,4.67,5.86,6.81,7.79,8.83,10.3,11.4
45-day:,2.49,3.32,4.45,5.4,6.75,7.83,8.96,10.2,11.9,13.2
60-day:,2.94,3.83,5.05,6.09,7.57,8.77,10,11.4,13.4,15
