Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): Newbury, New Hampshire, USA
Station Name: MT SUNAPEE
Latitude: 43.3402°
Longitude: -72.0720°
Elevation (USGS): 1270 ft


PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.363,0.436,0.557,0.659,0.832,0.959,1.11,1.28,1.53,1.73
10-min:, 0.514,0.618,0.790,0.935,1.18,1.36,1.58,1.80,2.16,2.46
15-min:, 0.605,0.727,0.928,1.10,1.39,1.60,1.86,2.13,2.55,2.89
30-min:, 0.850,1.02,1.31,1.55,1.95,2.25,2.61,2.98,3.57,4.06
60-min:, 1.10,1.32,1.68,1.99,2.51,2.89,3.36,3.84,4.60,5.22
2-hr:, 1.38,1.67,2.14,2.54,3.21,3.71,4.32,4.95,5.99,6.86
3-hr:, 1.58,1.91,2.45,2.91,3.69,4.26,4.98,5.70,6.93,7.97
6-hr:, 1.98,2.40,3.08,3.65,4.64,5.35,6.26,7.17,8.75,10.1
12-hr:, 2.48,2.99,3.83,4.54,5.76,6.64,7.77,8.89,10.8,12.5
24-hr:, 3.02,3.64,4.66,5.52,6.99,8.06,9.41,10.8,13.1,15.0
2-day:, 3.57,4.30,5.51,6.53,8.25,9.52,11.1,12.7,15.3,17.5
3-day:, 3.92,4.71,6.02,7.13,8.99,10.4,12.1,13.8,16.6,18.9
4-day:, 4.21,5.05,6.42,7.59,9.55,11.0,12.8,14.6,17.6,20.0
7-day:, 4.96,5.88,7.39,8.67,10.8,12.4,14.4,16.4,19.6,22.2
10-day:, 5.68,6.65,8.24,9.60,11.9,13.6,15.6,17.8,21.1,23.8
20-day:, 7.90,8.95,10.7,12.2,14.7,16.5,18.7,21.1,24.4,27.0
30-day:, 9.74,10.9,12.7,14.3,16.9,18.9,21.2,23.7,27.0,29.4
45-day:, 12.0,13.2,15.2,16.9,19.7,21.8,24.3,27.0,30.2,32.5
60-day:, 13.9,15.2,17.2,19.0,22.0,24.3,26.9,29.8,33.0,35.3

Date/time (GMT):  Tue Nov 29 19:55:23 2022
pyRunTime:  0.0104749202728
