"county","FIPS","year","wetDays"
"Accomack_Virginia_51001","51001",1979,15.8414634146341
"Accomack_Virginia_51001","51001",1980,3.84146341463415
"Accomack_Virginia_51001","51001",1981,3.07317073170732
"Accomack_Virginia_51001","51001",1982,6.14634146341463
"Accomack_Virginia_51001","51001",1983,7.98780487804878
"Accomack_Virginia_51001","51001",1984,8.86585365853658
"Accomack_Virginia_51001","51001",1985,9.64634146341463
"Accomack_Virginia_51001","51001",1986,4.34146341463415
"Accomack_Virginia_51001","51001",1987,6.07317073170732
"Accomack_Virginia_51001","51001",1988,3.65853658536585
"Accomack_Virginia_51001","51001",1989,9.01219512195122
"Accomack_Virginia_51001","51001",1990,5.9390243902439
"Accomack_Virginia_51001","51001",1991,9.45121951219512
"Accomack_Virginia_51001","51001",1992,8.18292682926829
"Accomack_Virginia_51001","51001",1993,6.04878048780488
"Accomack_Virginia_51001","51001",1994,5.23170731707317
"Accomack_Virginia_51001","51001",1995,7.23170731707317
"Accomack_Virginia_51001","51001",1996,6.24390243902439
"Accomack_Virginia_51001","51001",1997,5.04878048780488
"Accomack_Virginia_51001","51001",1998,9.39024390243902
"Accomack_Virginia_51001","51001",1999,11
"Accomack_Virginia_51001","51001",2000,9.0609756097561
"Accomack_Virginia_51001","51001",2001,6.58536585365854
"Accomack_Virginia_51001","51001",2002,6.74390243902439
"Accomack_Virginia_51001","51001",2003,14.6707317073171
"Accomack_Virginia_51001","51001",2004,14.3658536585366
"Accomack_Virginia_51001","51001",2005,13.9146341463415
"Accomack_Virginia_51001","51001",2006,11.9634146341463
"Accomack_Virginia_51001","51001",2007,8.4390243902439
"Accomack_Virginia_51001","51001",2008,11.5853658536585
"Accomack_Virginia_51001","51001",2009,13.4512195121951
"Accomack_Virginia_51001","51001",2010,11.6463414634146
"Accomack_Virginia_51001","51001",2011,5.17073170731707
"Accomack_Virginia_51001","51001",2012,11.9146341463415
"Accomack_Virginia_51001","51001",2013,11.5
"Accomack_Virginia_51001","51001",2014,8.24390243902439
"Accomack_Virginia_51001","51001",2015,11
"Accomack_Virginia_51001","51001",2016,11.5975609756098
"Accomack_Virginia_51001","51001",2017,13.780487804878
"Accomack_Virginia_51001","51001",2018,13.0243902439024
"Accomack_Virginia_51001","51001",2019,11.0365853658537
"Accomack_Virginia_51001","51001",2020,11.0487804878049
"Albemarle_Virginia_51003","51003",1979,12.3839285714286
"Albemarle_Virginia_51003","51003",1980,3.21428571428571
"Albemarle_Virginia_51003","51003",1981,6.25892857142857
"Albemarle_Virginia_51003","51003",1982,6.98214285714286
"Albemarle_Virginia_51003","51003",1983,14.4821428571429
"Albemarle_Virginia_51003","51003",1984,12.7589285714286
"Albemarle_Virginia_51003","51003",1985,11.4017857142857
"Albemarle_Virginia_51003","51003",1986,3.30357142857143
"Albemarle_Virginia_51003","51003",1987,11.0803571428571
"Albemarle_Virginia_51003","51003",1988,3.20535714285714
"Albemarle_Virginia_51003","51003",1989,8.53571428571429
"Albemarle_Virginia_51003","51003",1990,9.125
"Albemarle_Virginia_51003","51003",1991,8.57142857142857
"Albemarle_Virginia_51003","51003",1992,7.72321428571429
"Albemarle_Virginia_51003","51003",1993,10.2589285714286
"Albemarle_Virginia_51003","51003",1994,9.60714285714286
"Albemarle_Virginia_51003","51003",1995,10.625
"Albemarle_Virginia_51003","51003",1996,12.7946428571429
"Albemarle_Virginia_51003","51003",1997,9.41964285714286
"Albemarle_Virginia_51003","51003",1998,10.3482142857143
"Albemarle_Virginia_51003","51003",1999,7.80357142857143
"Albemarle_Virginia_51003","51003",2000,6.52678571428571
"Albemarle_Virginia_51003","51003",2001,7.33035714285714
"Albemarle_Virginia_51003","51003",2002,8.48214285714286
"Albemarle_Virginia_51003","51003",2003,15.0714285714286
"Albemarle_Virginia_51003","51003",2004,9.77678571428571
"Albemarle_Virginia_51003","51003",2005,8.125
"Albemarle_Virginia_51003","51003",2006,14.0982142857143
"Albemarle_Virginia_51003","51003",2007,7.16964285714286
"Albemarle_Virginia_51003","51003",2008,9.40178571428571
"Albemarle_Virginia_51003","51003",2009,11.8482142857143
"Albemarle_Virginia_51003","51003",2010,11.9375
"Albemarle_Virginia_51003","51003",2011,12.6160714285714
"Albemarle_Virginia_51003","51003",2012,7.71428571428571
"Albemarle_Virginia_51003","51003",2013,15.2767857142857
"Albemarle_Virginia_51003","51003",2014,10.0089285714286
"Albemarle_Virginia_51003","51003",2015,12.7589285714286
"Albemarle_Virginia_51003","51003",2016,9.25892857142857
"Albemarle_Virginia_51003","51003",2017,9.25
"Albemarle_Virginia_51003","51003",2018,25.375
"Albemarle_Virginia_51003","51003",2019,10.4642857142857
"Albemarle_Virginia_51003","51003",2020,17.8125
"Alexandria_Virginia_51510","51510",1979,10.6666666666667
"Alexandria_Virginia_51510","51510",1980,2.33333333333333
"Alexandria_Virginia_51510","51510",1981,3
"Alexandria_Virginia_51510","51510",1982,4.33333333333333
"Alexandria_Virginia_51510","51510",1983,11
"Alexandria_Virginia_51510","51510",1984,5
"Alexandria_Virginia_51510","51510",1985,4
"Alexandria_Virginia_51510","51510",1986,2
"Alexandria_Virginia_51510","51510",1987,3.66666666666667
"Alexandria_Virginia_51510","51510",1988,2.33333333333333
"Alexandria_Virginia_51510","51510",1989,3
"Alexandria_Virginia_51510","51510",1990,8
"Alexandria_Virginia_51510","51510",1991,4.33333333333333
"Alexandria_Virginia_51510","51510",1992,5
"Alexandria_Virginia_51510","51510",1993,7.66666666666667
"Alexandria_Virginia_51510","51510",1994,7.66666666666667
"Alexandria_Virginia_51510","51510",1995,7.66666666666667
"Alexandria_Virginia_51510","51510",1996,9.66666666666667
"Alexandria_Virginia_51510","51510",1997,6.66666666666667
"Alexandria_Virginia_51510","51510",1998,8.66666666666667
"Alexandria_Virginia_51510","51510",1999,9.33333333333333
"Alexandria_Virginia_51510","51510",2000,7.66666666666667
"Alexandria_Virginia_51510","51510",2001,8
"Alexandria_Virginia_51510","51510",2002,8.66666666666667
"Alexandria_Virginia_51510","51510",2003,16.6666666666667
"Alexandria_Virginia_51510","51510",2004,10
"Alexandria_Virginia_51510","51510",2005,10
"Alexandria_Virginia_51510","51510",2006,12
"Alexandria_Virginia_51510","51510",2007,5.33333333333333
"Alexandria_Virginia_51510","51510",2008,9.66666666666667
"Alexandria_Virginia_51510","51510",2009,9.66666666666667
"Alexandria_Virginia_51510","51510",2010,6
"Alexandria_Virginia_51510","51510",2011,11.3333333333333
"Alexandria_Virginia_51510","51510",2012,6
"Alexandria_Virginia_51510","51510",2013,12.3333333333333
"Alexandria_Virginia_51510","51510",2014,10
"Alexandria_Virginia_51510","51510",2015,8.66666666666667
"Alexandria_Virginia_51510","51510",2016,5
"Alexandria_Virginia_51510","51510",2017,9.66666666666667
"Alexandria_Virginia_51510","51510",2018,24.3333333333333
"Alexandria_Virginia_51510","51510",2019,6.66666666666667
"Alexandria_Virginia_51510","51510",2020,20
"Alleghany_Virginia_51005","51005",1979,8.68571428571429
"Alleghany_Virginia_51005","51005",1980,2.84285714285714
"Alleghany_Virginia_51005","51005",1981,3.71428571428571
"Alleghany_Virginia_51005","51005",1982,4.18571428571429
"Alleghany_Virginia_51005","51005",1983,7.28571428571429
"Alleghany_Virginia_51005","51005",1984,8.08571428571429
"Alleghany_Virginia_51005","51005",1985,7.12857142857143
"Alleghany_Virginia_51005","51005",1986,2.48571428571429
"Alleghany_Virginia_51005","51005",1987,6.08571428571429
"Alleghany_Virginia_51005","51005",1988,2.6
"Alleghany_Virginia_51005","51005",1989,7
"Alleghany_Virginia_51005","51005",1990,6.74285714285714
"Alleghany_Virginia_51005","51005",1991,5.57142857142857
"Alleghany_Virginia_51005","51005",1992,5.17142857142857
"Alleghany_Virginia_51005","51005",1993,7.77142857142857
"Alleghany_Virginia_51005","51005",1994,6.2
"Alleghany_Virginia_51005","51005",1995,5.97142857142857
"Alleghany_Virginia_51005","51005",1996,10.5
"Alleghany_Virginia_51005","51005",1997,3.52857142857143
"Alleghany_Virginia_51005","51005",1998,8.51428571428571
"Alleghany_Virginia_51005","51005",1999,6.15714285714286
"Alleghany_Virginia_51005","51005",2000,8.41428571428571
"Alleghany_Virginia_51005","51005",2001,9.07142857142857
"Alleghany_Virginia_51005","51005",2002,5.21428571428571
"Alleghany_Virginia_51005","51005",2003,13.2428571428571
"Alleghany_Virginia_51005","51005",2004,10.2285714285714
"Alleghany_Virginia_51005","51005",2005,5.75714285714286
"Alleghany_Virginia_51005","51005",2006,8.67142857142857
"Alleghany_Virginia_51005","51005",2007,5.95714285714286
"Alleghany_Virginia_51005","51005",2008,3.68571428571429
"Alleghany_Virginia_51005","51005",2009,7.22857142857143
"Alleghany_Virginia_51005","51005",2010,7.98571428571429
"Alleghany_Virginia_51005","51005",2011,9.41428571428571
"Alleghany_Virginia_51005","51005",2012,5.47142857142857
"Alleghany_Virginia_51005","51005",2013,9.35714285714286
"Alleghany_Virginia_51005","51005",2014,5.27142857142857
"Alleghany_Virginia_51005","51005",2015,10.9142857142857
"Alleghany_Virginia_51005","51005",2016,9.58571428571429
"Alleghany_Virginia_51005","51005",2017,8.17142857142857
"Alleghany_Virginia_51005","51005",2018,13.7285714285714
"Alleghany_Virginia_51005","51005",2019,5.62857142857143
"Alleghany_Virginia_51005","51005",2020,13.0714285714286
"Amelia_Virginia_51007","51007",1979,14.5384615384615
"Amelia_Virginia_51007","51007",1980,4.21153846153846
"Amelia_Virginia_51007","51007",1981,3.32692307692308
"Amelia_Virginia_51007","51007",1982,5.67307692307692
"Amelia_Virginia_51007","51007",1983,10.3846153846154
"Amelia_Virginia_51007","51007",1984,12.2692307692308
"Amelia_Virginia_51007","51007",1985,11.1730769230769
"Amelia_Virginia_51007","51007",1986,3.69230769230769
"Amelia_Virginia_51007","51007",1987,8.88461538461539
"Amelia_Virginia_51007","51007",1988,5.96153846153846
"Amelia_Virginia_51007","51007",1989,6.30769230769231
"Amelia_Virginia_51007","51007",1990,7
"Amelia_Virginia_51007","51007",1991,7.55769230769231
"Amelia_Virginia_51007","51007",1992,7.09615384615385
"Amelia_Virginia_51007","51007",1993,13
"Amelia_Virginia_51007","51007",1994,8.69230769230769
"Amelia_Virginia_51007","51007",1995,9.19230769230769
"Amelia_Virginia_51007","51007",1996,12.9615384615385
"Amelia_Virginia_51007","51007",1997,5.80769230769231
"Amelia_Virginia_51007","51007",1998,11.8461538461538
"Amelia_Virginia_51007","51007",1999,9.67307692307692
"Amelia_Virginia_51007","51007",2000,5.84615384615385
"Amelia_Virginia_51007","51007",2001,7.40384615384615
"Amelia_Virginia_51007","51007",2002,5.42307692307692
"Amelia_Virginia_51007","51007",2003,14.7307692307692
"Amelia_Virginia_51007","51007",2004,13.1346153846154
"Amelia_Virginia_51007","51007",2005,7.75
"Amelia_Virginia_51007","51007",2006,12.9038461538462
"Amelia_Virginia_51007","51007",2007,9.11538461538461
"Amelia_Virginia_51007","51007",2008,10.6730769230769
"Amelia_Virginia_51007","51007",2009,10.3269230769231
"Amelia_Virginia_51007","51007",2010,6.51923076923077
"Amelia_Virginia_51007","51007",2011,10.8461538461538
"Amelia_Virginia_51007","51007",2012,6.90384615384615
"Amelia_Virginia_51007","51007",2013,13.1346153846154
"Amelia_Virginia_51007","51007",2014,7.32692307692308
"Amelia_Virginia_51007","51007",2015,9.17307692307692
"Amelia_Virginia_51007","51007",2016,10.0384615384615
"Amelia_Virginia_51007","51007",2017,8.36538461538461
"Amelia_Virginia_51007","51007",2018,14.1538461538462
"Amelia_Virginia_51007","51007",2019,5.71153846153846
"Amelia_Virginia_51007","51007",2020,16.1538461538462
"Amherst_Virginia_51009","51009",1979,14.1805555555556
"Amherst_Virginia_51009","51009",1980,3.05555555555556
"Amherst_Virginia_51009","51009",1981,6.08333333333333
"Amherst_Virginia_51009","51009",1982,5.30555555555556
"Amherst_Virginia_51009","51009",1983,13.125
"Amherst_Virginia_51009","51009",1984,13.4305555555556
"Amherst_Virginia_51009","51009",1985,9.41666666666667
"Amherst_Virginia_51009","51009",1986,3.65277777777778
"Amherst_Virginia_51009","51009",1987,10.2222222222222
"Amherst_Virginia_51009","51009",1988,3.625
"Amherst_Virginia_51009","51009",1989,10.3194444444444
"Amherst_Virginia_51009","51009",1990,12.6666666666667
"Amherst_Virginia_51009","51009",1991,7.26388888888889
"Amherst_Virginia_51009","51009",1992,7.59722222222222
"Amherst_Virginia_51009","51009",1993,11.1666666666667
"Amherst_Virginia_51009","51009",1994,8.81944444444444
"Amherst_Virginia_51009","51009",1995,10.0555555555556
"Amherst_Virginia_51009","51009",1996,12.2361111111111
"Amherst_Virginia_51009","51009",1997,8.33333333333333
"Amherst_Virginia_51009","51009",1998,13.7916666666667
"Amherst_Virginia_51009","51009",1999,9.875
"Amherst_Virginia_51009","51009",2000,9.01388888888889
"Amherst_Virginia_51009","51009",2001,7.91666666666667
"Amherst_Virginia_51009","51009",2002,8.375
"Amherst_Virginia_51009","51009",2003,13.3055555555556
"Amherst_Virginia_51009","51009",2004,9.90277777777778
"Amherst_Virginia_51009","51009",2005,9.41666666666667
"Amherst_Virginia_51009","51009",2006,14
"Amherst_Virginia_51009","51009",2007,11.5972222222222
"Amherst_Virginia_51009","51009",2008,6.86111111111111
"Amherst_Virginia_51009","51009",2009,15
"Amherst_Virginia_51009","51009",2010,12.1944444444444
"Amherst_Virginia_51009","51009",2011,11.4861111111111
"Amherst_Virginia_51009","51009",2012,6.47222222222222
"Amherst_Virginia_51009","51009",2013,13.4583333333333
"Amherst_Virginia_51009","51009",2014,8.48611111111111
"Amherst_Virginia_51009","51009",2015,12.9583333333333
"Amherst_Virginia_51009","51009",2016,12.4444444444444
"Amherst_Virginia_51009","51009",2017,8.81944444444444
"Amherst_Virginia_51009","51009",2018,24.0138888888889
"Amherst_Virginia_51009","51009",2019,11.75
"Amherst_Virginia_51009","51009",2020,17.9305555555556
"Appomattox_Virginia_51011","51011",1979,11.8039215686275
"Appomattox_Virginia_51011","51011",1980,1.98039215686275
"Appomattox_Virginia_51011","51011",1981,7.33333333333333
"Appomattox_Virginia_51011","51011",1982,6.90196078431373
"Appomattox_Virginia_51011","51011",1983,11.4705882352941
"Appomattox_Virginia_51011","51011",1984,10.2352941176471
"Appomattox_Virginia_51011","51011",1985,11.7450980392157
"Appomattox_Virginia_51011","51011",1986,4.58823529411765
"Appomattox_Virginia_51011","51011",1987,9.13725490196078
"Appomattox_Virginia_51011","51011",1988,2.6078431372549
"Appomattox_Virginia_51011","51011",1989,10.4117647058824
"Appomattox_Virginia_51011","51011",1990,11.8039215686275
"Appomattox_Virginia_51011","51011",1991,5.68627450980392
"Appomattox_Virginia_51011","51011",1992,7.09803921568627
"Appomattox_Virginia_51011","51011",1993,9.94117647058824
"Appomattox_Virginia_51011","51011",1994,7.98039215686275
"Appomattox_Virginia_51011","51011",1995,11.5294117647059
"Appomattox_Virginia_51011","51011",1996,9.62745098039216
"Appomattox_Virginia_51011","51011",1997,6.82352941176471
"Appomattox_Virginia_51011","51011",1998,10.2941176470588
"Appomattox_Virginia_51011","51011",1999,9.49019607843137
"Appomattox_Virginia_51011","51011",2000,7.49019607843137
"Appomattox_Virginia_51011","51011",2001,5.84313725490196
"Appomattox_Virginia_51011","51011",2002,8.56862745098039
"Appomattox_Virginia_51011","51011",2003,14.9607843137255
"Appomattox_Virginia_51011","51011",2004,11.3137254901961
"Appomattox_Virginia_51011","51011",2005,8.72549019607843
"Appomattox_Virginia_51011","51011",2006,12.4705882352941
"Appomattox_Virginia_51011","51011",2007,8.09803921568627
"Appomattox_Virginia_51011","51011",2008,6.17647058823529
"Appomattox_Virginia_51011","51011",2009,11.6470588235294
"Appomattox_Virginia_51011","51011",2010,11.2745098039216
"Appomattox_Virginia_51011","51011",2011,9.82352941176471
"Appomattox_Virginia_51011","51011",2012,5.88235294117647
"Appomattox_Virginia_51011","51011",2013,8.66666666666667
"Appomattox_Virginia_51011","51011",2014,6.03921568627451
"Appomattox_Virginia_51011","51011",2015,8.31372549019608
"Appomattox_Virginia_51011","51011",2016,12.9019607843137
"Appomattox_Virginia_51011","51011",2017,8
"Appomattox_Virginia_51011","51011",2018,21.1176470588235
"Appomattox_Virginia_51011","51011",2019,7.80392156862745
"Appomattox_Virginia_51011","51011",2020,18.8627450980392
"Arlington_Virginia_51013","51013",1979,11.25
"Arlington_Virginia_51013","51013",1980,3
"Arlington_Virginia_51013","51013",1981,4
"Arlington_Virginia_51013","51013",1982,4.75
"Arlington_Virginia_51013","51013",1983,13
"Arlington_Virginia_51013","51013",1984,5.5
"Arlington_Virginia_51013","51013",1985,4
"Arlington_Virginia_51013","51013",1986,2.75
"Arlington_Virginia_51013","51013",1987,4.25
"Arlington_Virginia_51013","51013",1988,2
"Arlington_Virginia_51013","51013",1989,3.5
"Arlington_Virginia_51013","51013",1990,8
"Arlington_Virginia_51013","51013",1991,5.5
"Arlington_Virginia_51013","51013",1992,5.75
"Arlington_Virginia_51013","51013",1993,7.5
"Arlington_Virginia_51013","51013",1994,8.75
"Arlington_Virginia_51013","51013",1995,7.5
"Arlington_Virginia_51013","51013",1996,11.25
"Arlington_Virginia_51013","51013",1997,6.5
"Arlington_Virginia_51013","51013",1998,9
"Arlington_Virginia_51013","51013",1999,9.25
"Arlington_Virginia_51013","51013",2000,8
"Arlington_Virginia_51013","51013",2001,8.75
"Arlington_Virginia_51013","51013",2002,8
"Arlington_Virginia_51013","51013",2003,16.25
"Arlington_Virginia_51013","51013",2004,11.75
"Arlington_Virginia_51013","51013",2005,10
"Arlington_Virginia_51013","51013",2006,11
"Arlington_Virginia_51013","51013",2007,5.75
"Arlington_Virginia_51013","51013",2008,9
"Arlington_Virginia_51013","51013",2009,9.75
"Arlington_Virginia_51013","51013",2010,7.5
"Arlington_Virginia_51013","51013",2011,10.75
"Arlington_Virginia_51013","51013",2012,7.25
"Arlington_Virginia_51013","51013",2013,12.75
"Arlington_Virginia_51013","51013",2014,10.75
"Arlington_Virginia_51013","51013",2015,10.5
"Arlington_Virginia_51013","51013",2016,7.25
"Arlington_Virginia_51013","51013",2017,9.25
"Arlington_Virginia_51013","51013",2018,25
"Arlington_Virginia_51013","51013",2019,6.75
"Arlington_Virginia_51013","51013",2020,20
"Augusta_Virginia_51015","51015",1979,9.5921052631579
"Augusta_Virginia_51015","51015",1980,3.24342105263158
"Augusta_Virginia_51015","51015",1981,3.57894736842105
"Augusta_Virginia_51015","51015",1982,5.13815789473684
"Augusta_Virginia_51015","51015",1983,10.1710526315789
"Augusta_Virginia_51015","51015",1984,10.1381578947368
"Augusta_Virginia_51015","51015",1985,9.47368421052632
"Augusta_Virginia_51015","51015",1986,2.28947368421053
"Augusta_Virginia_51015","51015",1987,7.33552631578947
"Augusta_Virginia_51015","51015",1988,2.38157894736842
"Augusta_Virginia_51015","51015",1989,5.41447368421053
"Augusta_Virginia_51015","51015",1990,8.375
"Augusta_Virginia_51015","51015",1991,6.65789473684211
"Augusta_Virginia_51015","51015",1992,7.36184210526316
"Augusta_Virginia_51015","51015",1993,8.35526315789474
"Augusta_Virginia_51015","51015",1994,7.23026315789474
"Augusta_Virginia_51015","51015",1995,9.31578947368421
"Augusta_Virginia_51015","51015",1996,10.6315789473684
"Augusta_Virginia_51015","51015",1997,8.25657894736842
"Augusta_Virginia_51015","51015",1998,8.55263157894737
"Augusta_Virginia_51015","51015",1999,6.07236842105263
"Augusta_Virginia_51015","51015",2000,7.25
